"","date","location","tmax","tmin","prcp","rhmax","rhmin","shum","srad","wind_dir","Latitude","Longitude","Elevation_m.x","month.x","ID","month.y","day","year","Time","Freq","Replicate_Bottle","Type","Comment","Location_Description","Precipitation_Amount_mL","Depth_cm","Elevation_m.y","Sample_Name","X2H","X2H_StDev","X18O","X18O_StDev","Weighted_D","Avg_Temp","Avg_RH","tavg"
"1",2021-01-21,"OR-UM-27",6.27699995040894,-0.347000002861023,"6.73924282030141e+20",94.3000030517578,86.6999969482422,0.00361000001430511,34.2000007629395,141,45.6185,118.795,381,1,3413,"1","21","2021","7:00","Daily",NA,"Rain/Snow","current temperature 33.0°F, min 29°F, max 45°F","45.618483,-118.795004",30,NA,381,"3413-Avg",-42.59,1.31,-6.65,0.24,-1.799577465,NA,NA,2.96499997377396
"2",2021-01-21,"OR-WL-1",NA,NA,"9.15657968689399e+20",93.5999984741211,70.3000030517578,0.00304999994114041,68,220,45.3495,117.226,1292.352,1,3358,"1","21","2021","10:15","Daily",NA,"Snow","","45.3495,-117.226",24,NA,1292.352,"3358-Avg",-111.55,0.44,-14.38,0.37,-0.704378026,NA,NA,NA
"3",2021-01-22,"OR-CY-16",11.9490003585815,4.43100023269653,"1.55539769143363e+22",100,75.4000015258789,0.00498000020161271,46.4000015258789,15,42.1087,124.3036,268.224,1,3462,"1","22","2021","8:00","Daily",NA,"Rain","","42.1087,-124.3036",84,1.05,268.224,"3462-Avg",-40.09,0.22,-6.26,0.04,-0.484541007,NA,NA,8.19000029563901
"4",2021-01-22,"OR-JC-27",9.58699989318848,0.907999992370605,"2.37338549254358e+21",100,84.9000015258789,0.00467999977990985,41,324,42.2763,123.1386,524.256,1,3630,"1","22","2021","7:00","Daily",NA,"Rain","35F","42.2763,-123.1386",6,0.075,524.256,"3630-Avg",-81.38,0.4,-10.75,0.14,-0.297369062,NA,NA,5.24749994277954
"5",2021-01-22,"OR-UM-27",4.81199979782105,-0.414000004529953,"6.73924282030141e+20",100,78.3000030517578,0.00334999989718199,45.7000007629395,341,45.6185,118.795,381,1,3414,"1","22","2021","7:00","Daily",NA,"Rain/Snow","current temperature 31.5°F, min 32°F, max 37°F","45.618483,-118.795004",42,NA,381,"3414-Avg",-67.97,1.42,-9.55,0.23,-4.020760563,NA,NA,2.19899989664555
"6",2021-01-22,"OR-WL-1",NA,NA,"9.15657968689399e+20",100,66.1999969482422,0.00313999992795289,83.3000030517578,64,45.3495,117.226,1292.352,1,3359,"1","22","2021","7:55","Daily",NA,"Snow","","45.3495,-117.226",48,NA,1292.352,"3359-Avg",-100.78,0.66,-12.67,0.09,-1.272742581,NA,NA,NA
"7",2021-01-23,"OR-GR-4",0.802999973297119,-4.87599992752075,"9.88910616314129e+20",100,51.5999984741211,0.00215999991632998,99.0999984741211,327,44.24,119.09,1463.04,1,3597,"1","23","2021","7:00","Daily",NA,"Snow","1.4""","44.24,-119.09",28,0.35,1463.04,"3597-Avg",-84.17,0.45,-11.68,0.26,-2.496567797,NA,NA,-2.03649997711182
"8",2021-01-23,"OR-JC-27",3.55699992179871,-1.05299997329712,"2.37338549254358e+21",100,65.1999969482422,0.0041100000962615,130.399993896484,352,42.2763,123.1386,524.256,1,3631,"1","23","2021","7:00","Daily",NA,"Rain","35F","42.2763,-123.1386",44,0.55,524.256,"3631-Avg",-62.7,1.03,-8.6,0.15,-1.680146163,NA,NA,1.2519999742508
"9",2021-01-23,"OR-UM-27",0.992999970912933,-6.375,"6.73924282030141e+20",100,49,0.00264000007882714,87.0999984741211,274,45.6185,118.795,381,1,3415,"1","23","2021","7:00","Daily",NA,"Rain/Snow","current temperature 19.0°F, min 21°F, max 43°F","45.618483,-118.795004",10,NA,381,"3415-Avg",-63.98,0.51,-9.41,0.22,-0.901126761,NA,NA,-2.69100001454353
"10",2021-01-24,"OR-BN-113",7.58500003814697,-2.12299990653992,"6.66354849751173e+21",99.0999984741211,80.3000030517578,0.00402999995276332,29.2000007629395,224,44.5478,123.3756,124.968,1,3499,"1","24","2021","17:20","Daily",NA,"Rain","39F, 40/32","44.54777,-123.3756",46,0.575,124.968,"3499-Avg",-97.74,0.93,-13.16,0.34,-1.918105802,NA,NA,2.73100006580353
"11",2021-01-24,"OR-CY-16",9.7480001449585,1.71800005435944,"1.55539769143363e+22",100,76.6999969482422,0.0041899997740984,33.0999984741211,307,42.1087,124.3036,268.224,1,3463,"1","24","2021","8:00","Daily",NA,"Rain","","42.1087,-124.3036",30,0.375,268.224,"3463-Avg",-94.04,0.34,-11.6,0.1,-0.405928058,NA,NA,5.73300009965897
"12",2021-01-24,"WA-KP-66",5.69700002670288,-3.71700000762939,"6.65622311035018e+21",90.8000030517578,82.4000015258789,0.00414999993517995,40.0999984741211,177,47.5049,122.6772,121.92,1,3558,"1","24","2021","8:30","Daily",NA,"Rain","","47.50491,-122.6772",20,0.25,121.92,"3558-Avg",-85.49,0.28,-11.91,0.09,-0.880432544,NA,NA,0.990000009536745
"13",2021-01-24,"WA-WC-29",4.92500019073486,-3.00200009346008,"4.02645336203554e+21",94,78.9000015258789,0.00371000007726252,36.7000007629395,118,48.9623,122.6545,18.288,1,3318,"1","24","2021","7:00","Daily",NA,"Rain","","48.962273,-122.654498",96,NA,18.288,"3318-Avg",-135.86,0.86,-17.46,0.16,-5.564232082,NA,NA,0.96150004863739
"14",2021-01-25,"OR-BN-113",4.75400018692017,0.0480000004172325,"6.66354849751173e+21",98.5999984741211,64.5999984741211,0.00372999999672174,80.5999984741211,214,44.5478,123.3756,124.968,1,3500,"1","25","2021","18:17","Daily",NA,"Rain","38F, 43/27","44.54777,-123.3756",42,0.525,124.968,"3500-Avg",-66.13,0.05,-10.2,0.08,-1.184923208,NA,NA,2.4010000936687
"15",2021-01-25,"OR-CY-16",4.2020001411438,0.474000006914139,"1.55539769143363e+22",95.4000015258789,56.2000007629395,0.00349000003188849,82.5,319,42.1087,124.3036,268.224,1,3464,"1","25","2021","8:00","Daily",NA,"Rain","","42.1087,-124.3036",96,1.2,268.224,"3464-Avg",-35.72,0.56,-5.82,0.41,-0.493398561,NA,NA,2.33800007402897
"16",2021-01-25,"OR-GR-4",0.308999985456467,-14.2430000305176,"9.88910616314129e+20",100,64.4000015258789,0.0023199999704957,81.3000030517578,335,44.24,119.09,1463.04,1,3598,"1","25","2021","7:00","Daily",NA,"Snow","1.5""","44.24,-119.09",18,0.225,1463.04,"3598-Avg",-188.34,1.18,-24.26,0.28,-3.591228814,NA,NA,-6.96700002253057
"17",2021-01-25,"OR-JC-27",0.834999978542328,-3.98699998855591,"2.37338549254358e+21",94.5,57.2000007629395,0.00317999999970198,106.599998474121,288,42.2763,123.1386,524.256,1,3632,"1","25","2021","7:00","Daily",NA,"Rain/Snow","29F, AB","42.2763,-123.1386",36,0.45,524.256,"3632-Avg",-88.88,0.57,-11.89,0.13,-1.94864799,NA,NA,-1.57600000500679
"18",2021-01-25,"OR-LA-68",3.55100011825562,-0.523999989032745,"3.71635051416127e+21",95,65.4000015258789,0.00356000009924173,81.6999969482422,245,43.7088,122.9808,292.608,1,3131,"1","25","2021","8:25 AM","Daily",NA,"Rain/Snow","0.15"" rain or already melted snow + 0.01"" melted snow, 32 deg F","43.7088,-122.9808",32,0.4,292.608,"3131-Avg",-70.39,0.64,-9.53,0.09,-1.094499514,NA,NA,1.51350006461144
"19",2021-01-25,"OR-UM-27",3.14199995994568,-2.84500002861023,"6.73924282030141e+20",97,76,0.00328000006265938,61.7000007629395,303,45.6185,118.795,381,1,3416,"1","25","2021","7:00","Daily",NA,"Snow","current temperature 31.0°F, min 27°F, max 45°F.  Snow = 0.75 inch","45.618483,-118.795004",14,1.875,381,"3416-Avg",-147.49,1.81,-19.3,0.27,-2.908253521,NA,NA,0.148499965667725
"20",2021-01-25,"OR-WL-1",NA,NA,"9.15657968689399e+20",80.5999984741211,58.2999992370606,0.00230000005103648,88,337,45.3495,117.226,1292.352,1,3360,"1","25","2021","7:05","Daily",NA,"Snow","","45.3495,-117.226",8,NA,1292.352,"3360-Avg",-212.76,0.82,-25.6,0.09,-0.447821511,NA,NA,NA
"21",2021-01-25,"WA-CH-22",-3.55599999427795,-7.30499982833862,"2.44907991138961e+21",96.9000015258789,61.7999992370606,0.00249000010080636,79.3000030517578,310,47.798,120.4014,481.584,1,3173,"1","25","2021","8:00 AM","Daily",NA,"Snow","current temperature 21°F. Snow depth 0.80 inches, dry snow","47.79802,-120.4014",3.6,0.225,481.584,"3173-Avg",-175.24,0.92,-20.68,0.08,-2.568664495,NA,NA,-5.43049991130829
